1;Cândida;candida@gmail.com;xfxc;10/12/2018 02:40:34;True
2;Cândida;candida@gmail.com;;10/12/2018 02:42:16;True
3;Cândida;candida@gmail.com;hu;10/12/2018 02:47:11;False
4;Cade-meu-cookie-candida;fome@decookie.com;cookies quando???;10/12/2018 13:10:00;False
5;Cade-meu-cookie-candida;fome@decookie.com;alo alo turminha do barulho;10/12/2018 13:12:16;False
6;Cândida;candida@gmail.com;sfsdfdsfsdfsdfsdfsfsdfssssssssssssssss;10/12/2018 13:37:27;False
7;Cândida;candida@gmail.com;sdzsd;10/12/2018 23:03:59;False
8;Cândida;candida@gmail.com;sadas;11/12/2018 16:16:05;False
9;Cândida;candida@gmail.com;\zx\z;11/12/2018 17:03:23;False
10;Cândida;candida@gmail.com;zxczc;11/12/2018 17:05:22;False
11;Cândida;candida@gmail.com;zxcz;11/12/2018 17:05:25;False
12;Cândida;candida@gmail.com;adas;11/12/2018 17:07:05;False
13;Cândida;candida@gmail.com;ssaa;11/12/2018 17:07:56;False
14;Cândida;candida@gmail.com;saasaxax;11/12/2018 17:08:16;False
